Club,Name,Country,Tag,Birthdate,Position
FC Augsburg,Bobadilla; Raul,Paraguay,25,18.06.1987,FW
FC Augsburg,Janker; Christoph,Deutschland,16,14.02.1985,DF
FC Augsburg,Max; Philipp,Deutschland,31,30.09.1993,DF
FC Augsburg,Ekin; Arif,Türkei,37,14.09.1995,MF
FC Augsburg,Callsen-Bracker; Jan-Ingwer,Deutschland,18,23.09.1984,DF
FC Augsburg,Mölders; Sascha,Deutschland,33,20.03.1985,FW
FC Augsburg,Hong; Jeong-Ho,Südkorea,20,12.08.1989,DF
FC Augsburg,Manninger; Alexander,Österreich,1,04.06.1977,GK
FC Augsburg,Trochowski; Piotr,Deutschland,15,22.03.1984,MF
FC Augsburg,Opare; Daniel,Ghana,4,18.10.1990,DF
FC Augsburg,Feulner; Markus,Deutschland,8,12.02.1982,MF
FC Augsburg,Rieder; Tim,Deutschland,40,03.09.1993,DF
FC Augsburg,Parker; Shawn,Deutschland,9,07.03.1993,MF
FC Augsburg,Kohr; Dominik,Deutschland,21,31.01.1994,MF
FC Augsburg,Baier; Daniel,Deutschland,10,18.05.1984,MF
FC Augsburg,Ji; Dong-Won,Südkorea,22,28.05.1991,FW
FC Augsburg,Gelios; Ioannis,Griechenland,24,24.04.1992,GK
FC Augsburg,Klavan; Ragnar,Estland,5,30.10.1985,DF
FC Augsburg,Framberger; Raphael,Deutschland,32,06.09.1995,DF
FC Augsburg,Moravek; Jan,Tschechien,14,01.11.1989,MF
FC Augsburg,Schuster; Marco,Deutschland,29,10.10.1995,MF
FC Augsburg,Uhde; Maik,Deutschland,39,23.05.1994,DF
FC Augsburg,Matavz; Tim,Slowenien,23,13.01.1989,FW
FC Augsburg,Koo; Ja-Cheol,Südkorea,19,27.02.1989,MF
FC Augsburg,Altintop; Halil,Türkei,7,08.12.1982,MF
FC Augsburg,Oettl; Yannik,Deutschland,28,19.11.1996,GK
FC Augsburg,Stafylidis; Konstantinos,Griechenland,3,02.12.1993,DF
FC Augsburg,Esswein; Alexander,Deutschland,11,25.03.1990,MF
FC Augsburg,Caiuby,Brasilien,30,14.07.1988,MF
FC Augsburg,Hitz; Marwin,Schweiz,35,18.09.1987,GK
FC Augsburg,Verhaegh; Paul,Niederlande,2,01.09.1983,DF
FC Augsburg,Kurz; Bastian,Deutschland,26,23.09.1996,DF
FC Augsburg,Reinthaler; Max,Italien,36,22.03.1995,MF
FC Augsburg,Werner; Tobias,Deutschland,13,19.07.1985,MF
Hamburger SV,Cleber,Brasilien,3,05.12.1990,DF
Hamburger SV,Djourou; Johan,Schweiz,5,18.01.1987,DF
Hamburger SV,Ekdal; Albin,Schweden,20,28.07.1989,MF
Hamburger SV,Drobny; Jaroslav,Tschechien,1,18.10.1979,GK
Hamburger SV,Hirzel; Andreas,Schweiz,30,25.03.1993,GK
Hamburger SV,Marcos; Ronny,Mosambik,31,01.10.1993,DF
Hamburger SV,Hunt; Aaron,Deutschland,14,04.09.1986,MF
Hamburger SV,Jung; Gideon,Deutschland,28,12.09.1994,DF
Hamburger SV,Schipplock; Sven,Deutschland,9,08.11.1988,FW
Hamburger SV,Stieber; Zoltan,Ungarn,17,16.10.1988,MF
Hamburger SV,Götz; Ashton-Phillip,Deutschland,39,16.07.1993,DF
Hamburger SV,Lasogga; Pierre-Michel,Deutschland,10,15.12.1991,FW
Hamburger SV,Kacar; Gojko,Serbien,40,26.01.1987,MF
Hamburger SV,Müller; Philipp,Deutschland,26,03.03.1995,FW
Hamburger SV,Müller; Nicolai,Deutschland,27,25.09.1987,MF
Hamburger SV,Spahic; Emir,Bosnien-Herzegowina,4,18.08.1980,DF
Hamburger SV,Rudnevs; Artjoms,Lettland,16,13.01.1988,FW
Hamburger SV,Ostrzolek; Matthias,Deutschland,22,05.06.1990,DF
Hamburger SV,Diaz; Marcelo,Chile,21,30.12.1986,MF
Hamburger SV,Olic; Ivica,Kroatien,11,14.09.1979,FW
Hamburger SV,Diekmeier; Dennis,Deutschland,2,20.10.1989,DF
Hamburger SV,Holtby; Lewis,Deutschland,8,18.09.1990,MF
Hamburger SV,Adler; René,Deutschland,15,15.01.1985,GK
Hamburger SV,Gregoritsch; Michael,Österreich,23,18.04.1994,FW
Hamburger SV,Altintas; Batuhan,Türkei,33,14.03.1996,FW
Hamburger SV,Sakai; Gotoku,Japan,24,14.03.1991,DF
Hamburger SV,Ilicevic; Ivo,Kroatien,7,14.11.1986,MF
1. FC Köln,Vogt; Kevin,Deutschland,6,23.09.1991,MF
1. FC Köln,Olkowski; Pawel,Polen,16,13.02.1990,DF
1. FC Köln,Osako; Yuya,Japan,13,18.05.1990,FW
1. FC Köln,Nagasawa; Kazuki,Japan,25,16.12.1991,MF
1. FC Köln,Kessler; Thomas,Deutschland,18,20.01.1986,GK
1. FC Köln,Sörensen; Frederik,Dänemark,4,14.04.1992,DF
1. FC Köln,Bittencourt; Leonardo,Deutschland,21,19.12.1993,MF
1. FC Köln,Modeste; Anthony,Frankreich,27,14.04.1988,FW
1. FC Köln,Finne; Bard,Norwegen,26,13.02.1995,FW
1. FC Köln,Hosiner; Philipp,Österreich,15,15.05.1989,FW
1. FC Köln,Maroh; Dominic,Slowenien,5,04.03.1987,DF
1. FC Köln,Gerhardt; Yannick,Deutschland,31,13.03.1994,MF
1. FC Köln,Svento; Dusan,Slowakei,29,01.08.1985,MF
1. FC Köln,Mesenhöler; Daniel,Deutschland,37,24.07.1995,GK
1. FC Köln,Heintz; Dominique,Deutschland,3,15.08.1993,DF
1. FC Köln,Risse; Marcel,Deutschland,7,17.12.1989,MF
1. FC Köln,Mavraj; Mergim,Albanien,19,09.06.1986,DF
1. FC Köln,Jojic; Milos,Serbien,8,19.03.1992,MF
1. FC Köln,Hector; Jonas,Deutschland,14,27.05.1990,DF
1. FC Köln,Lehmann; Matthias,Deutschland,33,28.05.1983,MF
1. FC Köln,Zoller; Simon,Deutschland,11,26.06.1991,FW
1. FC Köln,Horn; Timo,Deutschland,1,12.05.1993,GK
1. FSV Mainz 05,Jairo,Spanien,17,11.07.1993,MF
1. FSV Mainz 05,Zimling; Niki,Dänemark,25,19.04.1985,MF
1. FSV Mainz 05,Baumgartlinger; Julian,Österreich,14,02.01.1988,MF
1. FSV Mainz 05,Jara; Gonzalo,Chile,2,29.08.1985,DF
1. FSV Mainz 05,Huth; Jannik,Deutschland,33,15.04.1994,GK
1. FSV Mainz 05,Moritz; Christoph,Deutschland,8,27.01.1990,MF
1. FSV Mainz 05,Bengtsson; Pierre,Schweden,7,12.04.1988,DF
1. FSV Mainz 05,Cordoba; Jhon,Kolumbien,15,11.05.1993,FW
1. FSV Mainz 05,De Blasis; Pablo,Argentinien,32,04.02.1988,FW
1. FSV Mainz 05,Curci; Gianluca,Italien,23,12.07.1985,GK
1. FSV Mainz 05,Soto; Elkin,Kolumbien,19,04.08.1980,MF
1. FSV Mainz 05,Muto; Yoshinori,Japan,9,15.07.1992,FW
1. FSV Mainz 05,Niederlechner; Florian,Deutschland,31,24.10.1990,FW
1. FSV Mainz 05,Latza; Danny,Deutschland,6,07.12.1989,MF
1. FSV Mainz 05,Malli; Yunus,Deutschland,10,24.02.1992,MF
1. FSV Mainz 05,Bell; Stefan,Deutschland,16,24.08.1991,DF
1. FSV Mainz 05,Karius; Loris,Deutschland,1,22.06.1993,GK
1. FSV Mainz 05,Clemens; Christian,Deutschland,27,04.08.1991,MF
1. FSV Mainz 05,Bussmann; Gaetan,Frankreich,24,02.02.1991,DF
1. FSV Mainz 05,Beister; Maximilian,Deutschland,11,06.09.1990,MF
1. FSV Mainz 05,Bungert; Niko,Deutschland,26,24.10.1986,DF
1. FSV Mainz 05,Brosinski; Daniel,Deutschland,18,17.07.1988,DF
1. FSV Mainz 05,Frei; Fabian,Schweiz,20,08.01.1989,MF
1. FSV Mainz 05,Parker; Devante,Deutschland,29,16.03.1996,MF
1. FSV Mainz 05,Serdar; Suat,Deutschland,xx,11.04.1997,MF
1. FSV Mainz 05,Nedelev; Todor,Bulgarien,28,07.02.1993,MF
1. FSV Mainz 05,Balogun; Leon,Nigeria,3,28.06.1988,DF
1. FSV Mainz 05,Sereno; Henrique,Portugal,5,18.05.1985,DF
Bayern München,Rafinha,Brasilien,13,07.09.1985,DF
Bayern München,Kimmich; Joshua,Deutschland,32,08.02.1995,MF
Bayern München,Badstuber; Holger,Deutschland,28,13.03.1989,DF
Bayern München,Green; Julian,USA,37,06.06.1995,MF
Bayern München,Coman; Kingsley,Frankreich,29,13.06.1996,MF
Bayern München,Gaudino; Gianluca,Deutschland,16,11.11.1996,MF
Bayern München,Javi Martinez,Spanien,8,02.09.1988,DF
Bayern München,Rode; Sebastian,Deutschland,20,11.10.1990,MF
Bayern München,Robben; Arjen,Niederlande,10,23.01.1984,MF
Bayern München,Vidal; Arturo,Chile,23,22.05.1987,MF
Bayern München,Boateng; Jerome,Deutschland,17,03.09.1988,DF
Bayern München,Ulreich; Sven,Deutschland,26,03.08.1988,GK
Bayern München,Xabi Alonso,Spanien,14,25.11.1981,MF
Bayern München,Kirchhoff; Jan,Deutschland,15,01.10.1990,DF
Bayern München,Neuer; Manuel,Deutschland,1,27.03.1986,GK
Bayern München,Kurt; Sinan,Deutschland,24,23.07.1996,FW
Bayern München,Douglas Costa,Brasilien,11,14.09.1990,MF
Bayern München,Götze; Mario,Deutschland,19,03.06.1992,MF
Bayern München,Lahm; Philipp,Deutschland,21,11.11.1983,MF
Bayern München,Thiago,Spanien,6,11.04.1991,MF
Bayern München,Starke; Tom,Deutschland,22,18.03.1981,GK
Bayern München,Alaba; David,Österreich,27,24.06.1992,DF
Bayern München,Müller; Thomas,Deutschland,25,13.09.1989,MF
Bayern München,Ribery; Franck,Frankreich,7,07.04.1983,MF
Bayern München,Juan Bernat,Spanien,18,01.03.1993,DF
Bayern München,Lewandowski; Robert,Polen,9,21.08.1988,FW
Bayern München,Weihrauch; Patrick,Deutschland,xx,03.03.1994,FW
Bayern München,Benatia; Medhi,Marokko,5,17.04.1987,DF
Hannover 96,Prib; Edgar,Deutschland,7,15.12.1989,MF
Hannover 96,Hirsch; Maurice,Deutschland,23,30.05.1993,MF
Hannover 96,Schmiedebach; Manuel,Deutschland,8,05.12.1988,MF
Hannover 96,Saint-Maximin; Allan,Frankreich,14,12.03.1997,FW
Hannover 96,Zieler; Ron-Robert,Deutschland,1,12.02.1989,GK
Hannover 96,Gülselam; Ceyhun,Türkei,6,25.12.1987,MF
Hannover 96,Klaus; Felix,Deutschland,11,13.09.1992,MF
Hannover 96,Albornoz; Miiko,Chile,3,30.11.1990,DF
Hannover 96,Bähre; Mike-Steven,Deutschland,33,10.08.1995,MF
Hannover 96,Kiyotake; Hiroshi,Japan,10,12.11.1989,MF
Hannover 96,Rankovic; Vladimir,Deutschland,27,27.06.1993,DF
Hannover 96,Schulz; Christian,Deutschland,19,01.04.1983,DF
Hannover 96,Andreasen; Leon,Dänemark,2,23.04.1983,MF
Hannover 96,Königsmann; Timo,Deutschland,40,05.04.1997,GK
Hannover 96,Sané; Salif,Senegal,5,25.08.1990,MF
Hannover 96,Anton; Waldemar,Deutschland,31,20.07.1996,DF
Hannover 96,Sorg; Oliver,Deutschland,29,29.05.1990,DF
Hannover 96,Radlinger; Samuel,Österreich,30,07.11.1992,GK
Hannover 96,Teichgräber; Niklas,Deutschland,37,07.02.1996,DF
Hannover 96,Erdinc; Mevlüt,Türkei,39,25.02.1987,FW
Hannover 96,Marcelo,Brasilien,25,20.05.1987,DF
Hannover 96,Felipe,Brasilien,20,15.05.1987,DF
Hannover 96,Hoffmann; Andre,Deutschland,15,28.02.1993,DF
Hannover 96,Karaman; Kenan,Türkei,26,05.03.1994,FW
Hannover 96,Dierßen; Tim,Deutschland,34,15.01.1996,MF
Hannover 96,Ernst; Sebastian,Deutschland,36,04.03.1995,MF
Hannover 96,Sakai; Hiroki,Japan,4,12.04.1990,DF
Hannover 96,Benschop; Charlison,Niederlande,35,21.08.1989,FW
Hannover 96,Bech; Uffe,Dänemark,17,13.01.1993,MF
Hannover 96,Tschauner; Philipp,Deutschland,13,03.11.1985,GK
Hannover 96,Sobiech; Artur,Polen,9,12.06.1990,FW
Hannover 96,Sulejmani; Valmir,Albanien,38,01.02.1996,MF
Eintracht Frankfurt,Medojevic; Slobodan,Serbien,25,20.11.1990,MF
Eintracht Frankfurt,Kinsombi; David,Deutschland,31,12.12.1995,DF
Eintracht Frankfurt,Anderson,Brasilien,23,10.01.1988,DF
Eintracht Frankfurt,Hasebe; Makoto,Japan,20,18.01.1984,MF
Eintracht Frankfurt,Ignjovski; Aleksandar,Serbien,27,27.01.1991,DF
Eintracht Frankfurt,Reinartz; Stefan,Deutschland,7,01.01.1989,MF
Eintracht Frankfurt,Gacinovic; Mijat,Serbien,11,08.02.1995,MF
Eintracht Frankfurt,Djakpa; Constant,Elfenbeinküste,15,17.10.1986,DF
Eintracht Frankfurt,Kittel; Sonny,Deutschland,28,06.01.1993,MF
Eintracht Frankfurt,Seferovic; Haris,Schweiz,9,22.02.1992,FW
Eintracht Frankfurt,Gerezgiher; Joel,Deutschland,32,09.10.1995,MF
Eintracht Frankfurt,Lindner; Heinz,Österreich,13,17.07.1990,GK
Eintracht Frankfurt,Chandler; Timothy,USA,22,29.03.1990,DF
Eintracht Frankfurt,Castaignos; Luc,Niederlande,30,27.09.1992,FW
Eintracht Frankfurt,Flum; Johannes,Deutschland,18,14.12.1987,MF
Eintracht Frankfurt,Kadlec; Vaclav,Tschechien,10,20.05.1992,FW
Eintracht Frankfurt,Abraham; David,Argentinien,19,15.07.1986,DF
Eintracht Frankfurt,Russ; Marco,Deutschland,4,04.08.1985,DF
Eintracht Frankfurt,Meier; Alexander,Deutschland,14,17.01.1983,FW
Eintracht Frankfurt,Balayev; Emil,Aserbaidschan,29,17.04.1994,GK
Eintracht Frankfurt,Hradecky; Lukas,Finnland,1,24.11.1989,GK
Eintracht Frankfurt,Zambrano; Carlos,Peru,5,10.07.1989,DF
Eintracht Frankfurt,Waldschmidt; Luca,Deutschland,24,19.05.1996,FW
Eintracht Frankfurt,Stendera; Marc,Deutschland,21,10.12.1995,MF
Eintracht Frankfurt,Aigner; Stefan,Deutschland,16,20.08.1987,MF
Eintracht Frankfurt,Zummack; Yannick,Deutschland,33,26.03.1996,GK
Eintracht Frankfurt,Oczipka; Bastian,Deutschland,6,12.01.1989,DF
Hertha BSC,Ben-Hatira; Änis,Tunesien,10,18.07.1988,MF
Hertha BSC,van den Bergh; Johannes,Deutschland,23,21.11.1986,DF
Hertha BSC,Körber; Nils-Jonathan,Deutschland,29,13.11.1996,GK
Hertha BSC,Kohls; Florian,Deutschland,31,03.04.1995,MF
Hertha BSC,Jarstein; Rune,Norwegen,22,29.09.1984,GK
Hertha BSC,Cigerci; Tolga,Deutschland,17,23.03.1992,MF
Hertha BSC,Stark; Niklas,Deutschland,5,14.04.1995,DF
Hertha BSC,Gersbeck; Marius,Deutschland,35,20.06.1995,GK
Hertha BSC,Allagui; Sami,Tunesien,11,28.05.1986,FW
Hertha BSC,Kalou; Salomon,Elfenbeinküste,8,05.08.1985,FW
Hertha BSC,Hegeler; Jens,Deutschland,13,22.01.1988,MF
Hertha BSC,Plattenhardt; Marvin,Deutschland,21,26.01.1992,DF
Hertha BSC,Stocker; Valentin,Schweiz,14,12.04.1989,MF
Hertha BSC,Skjelbred; Per Ciljan,Norwegen,3,16.06.1987,MF
Hertha BSC,Baumjohann; Alexander,Deutschland,9,23.01.1987,MF
Hertha BSC,Haraguchi; Genki,Japan,24,09.05.1991,MF
Hertha BSC,Ronny,Brasilien,12,11.05.1986,MF
Hertha BSC,Brooks; John Anthony,USA,25,28.01.1993,DF
Hertha BSC,Weiser; Mitchell,Deutschland,20,21.04.1994,MF
Hertha BSC,Ibisevic; Vedad,Bosnien-Herzegowina,19,06.08.1984,FW
Hertha BSC,Lustenberger; Fabian,Schweiz,28,02.05.1988,MF
Hertha BSC,Pekarik; Peter,Slowakei,2,30.10.1986,DF
Hertha BSC,Langkamp; Sebastian,Deutschland,15,15.01.1988,DF
Hertha BSC,Darida; Vladimir,Tschechien,6,08.08.1990,MF
Hertha BSC,Beerens; Roy,Niederlande,27,22.12.1987,MF
Hertha BSC,Schieber; Julian,Deutschland,16,13.02.1989,FW
Hertha BSC,Kraft; Thomas,Deutschland,1,22.07.1988,GK
Hertha BSC,Mittelstädt; Maximilian,Deutschland,34,18.03.1997,DF
TSG Hoffenheim,Baumann; Oliver,Deutschland,1,02.06.1990,GK
TSG Hoffenheim,Volland; Kevin,Deutschland,31,30.07.1992,FW
TSG Hoffenheim,Polanski; Eugen,Polen,8,17.03.1986,MF
TSG Hoffenheim,Kuranyi; Kevin,Deutschland,22,02.03.1982,FW
TSG Hoffenheim,Elyounoussi; Tarik,Norwegen,14,23.02.1988,MF
TSG Hoffenheim,Kim; Jin-Su,Südkorea,20,13.06.1992,DF
TSG Hoffenheim,Strobl; Tobias,Deutschland,12,12.05.1990,DF
TSG Hoffenheim,Szalai; Adam,Ungarn,28,09.12.1987,FW
TSG Hoffenheim,Schmid; Jonathan,Frankreich,10,22.06.1990,MF
TSG Hoffenheim,Rapp; Nicolai,Deutschland,21,13.12.1996,DF
TSG Hoffenheim,Joelinton,Brasilien,40,14.08.1996,FW
TSG Hoffenheim,Schär; Fabian,Schweiz,5,20.12.1991,DF
TSG Hoffenheim,Grahl; Jens,Deutschland,13,22.09.1988,GK
TSG Hoffenheim,Rudy; Sebastian,Deutschland,6,28.02.1990,MF
TSG Hoffenheim,Malbasic; Filip,Serbien,xx,18.11.1992,MF
TSG Hoffenheim,Zuber; Steven,Schweiz,17,17.08.1991,MF
TSG Hoffenheim,Kaderabek; Pavel,Tschechien,3,25.04.1992,DF
TSG Hoffenheim,Ochs; Philipp,Deutschland,30,17.04.1997,FW
TSG Hoffenheim,Süle; Niklas,Deutschland,25,03.09.1995,DF
TSG Hoffenheim,Schwegler; Pirmin,Schweiz,16,09.03.1987,MF
TSG Hoffenheim,Herdling; Kai,Deutschland,38,27.06.1984,MF
TSG Hoffenheim,Gimber; Benedikt,Deutschland,32,19.02.1997,DF
TSG Hoffenheim,Vargas; Eduardo,Chile,9,20.11.1989,MF
TSG Hoffenheim,Bicakcic; Ermin,Bosnien-Herzegowina,4,24.01.1990,DF
TSG Hoffenheim,Amiri; Nadiem,Deutschland,18,27.10.1996,MF
TSG Hoffenheim,Hamad; Jiloan,Schweden,11,06.11.1990,MF
TSG Hoffenheim,Uth; Mark,Deutschland,19,24.08.1991,FW
TSG Hoffenheim,Stolz; Alexander,Deutschland,33,13.10.1983,GK
TSG Hoffenheim,Toljan; Jeremy,Deutschland,15,08.08.1994,DF
FC Ingolstadt 04,Groß; Pascal,Deutschland,10,15.06.1991,MF
FC Ingolstadt 04,Leckie; Mathew,Australien,7,04.02.1991,FW
FC Ingolstadt 04,Kachunga; Elias,Deutschland,25,22.04.1992,FW
FC Ingolstadt 04,Bregerie; Romain,Frankreich,18,09.08.1986,DF
FC Ingolstadt 04,Nyland; Örjan,Norwegen,26,10.09.1990,GK
FC Ingolstadt 04,Levels; Tobias,Deutschland,28,22.11.1986,DF
FC Ingolstadt 04,Hinterseer; Lukas,Österreich,16,28.03.1991,FW
FC Ingolstadt 04,Multhaup; Maurice,Deutschland,xx,15.12.1996,MF
